kernel,lanes,subgroup,rows,heads_per_wg,layers,iters,us,bytes,gbps,note
mega_mhc.post,32,32,2,1,8,64,2.3856,163840,68.68,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
mega_mhc.mix,32,32,2,1,8,64,5.3362,1966080,368.44,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
mega_mhc.final,32,32,2,1,8,64,3.0106,40960,13.61,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
wq_a,32,32,2,1,8,64,38.4481,6560000,170.62,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
wq_b,32,32,2,1,8,64,205.4175,41984000,204.38,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
wkv.gemv,32,32,2,1,8,64,17.0650,2624000,153.77,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
wkv.finish,32,32,2,1,8,64,9.1975,2560,0.28,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
sparse_attn.score,32,32,2,1,8,64,42.0744,134144,3.19,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
sparse_attn.combine,32,32,2,1,8,64,27.2644,134144,4.92,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
wo_a,32,32,2,1,8,64,201.4188,33587200,166.75,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
wo_b,32,32,2,1,8,64,312.1950,41984000,134.48,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
gate.score,32,32,2,1,8,64,16.2888,3932160,241.40,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
gate.topk,32,32,2,1,8,64,12.4844,3072,0.25,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
head,32,32,2,1,8,64,5652.8369,1323827200,234.19,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
compressor.wkv,32,32,2,1,8,64,13.9138,5242880,376.81,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
compressor.wgate,32,32,2,1,8,64,13.8544,5242880,378.43,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
compressor.norm,32,32,2,1,8,64,3.1894,8192,2.57,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
compressor.store,32,32,2,1,8,64,6.3844,3072,0.48,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
indexer.wq_b,32,32,2,1,8,64,16.8825,5248000,310.85,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
indexer.q_finish,32,32,2,1,8,64,9.7075,24576,2.53,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
indexer.key,32,32,2,1,8,64,16.9469,131072,7.73,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
indexer.weights,32,32,2,1,8,64,21.7369,327680,15.07,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
indexer.score,32,32,2,1,8,64,16.1212,16640,1.03,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
indexer.topk,32,32,2,1,8,64,0.8137,260,0.32,"P2 step 2: compressor and indexer produced, per-stage staging/reduce knobs, sparse_attn vectorised"
