kernel,lanes,iters,ms,bytes,gbps,note
"main_proj (K=15360, M=1)",32,16,0.6644,78720000,118.48,"shared machine; oracle CPU run in progress"
"main_norm",32,16,0.0410,0,0.00,"shared machine; oracle CPU run in progress"
"wq_a (M=5)",32,16,0.1308,6560000,50.15,"shared machine; oracle CPU run in progress"
"q_norm (M=5)",32,16,0.0149,0,0.00,"shared machine; oracle CPU run in progress"
"wq_b (M=5)",32,16,1.2817,41984000,32.76,"shared machine; oracle CPU run in progress"
"rope(q) (M=5)",32,16,0.0572,0,0.00,"shared machine; oracle CPU run in progress"
"wkv (M=1, main_x)",32,16,0.0462,2624000,56.78,"shared machine; oracle CPU run in progress"
"wkv (M=5)",32,16,0.0805,2624000,32.61,"shared machine; oracle CPU run in progress"
"kv_norm (M=5)",32,16,0.0092,0,0.00,"shared machine; oracle CPU run in progress"
"rope+quant(kv) (M=5)",32,16,0.0296,0,0.00,"shared machine; oracle CPU run in progress"
"attn.score (M=5, 70 kv)",32,16,0.1149,136192,1.19,"shared machine; oracle CPU run in progress"
"attn.combine (M=5)",32,16,0.2227,136192,0.61,"shared machine; oracle CPU run in progress"
"inverse rope (M=5)",32,16,0.0563,0,0.00,"shared machine; oracle CPU run in progress"
"wo_a (M=5)",32,16,0.5201,33587200,64.57,"shared machine; oracle CPU run in progress"
"wo_b (M=5)",32,16,0.7525,41984000,55.79,"shared machine; oracle CPU run in progress"
"markov bias (1 position)",32,16,0.4478,66191360,147.82,"shared machine; oracle CPU run in progress"
"bias add + argmax",32,16,0.2919,0,0.00,"shared machine; oracle CPU run in progress"
"confidence (M=5)",32,16,0.0724,10752,0.15,"shared machine; oracle CPU run in progress"
"CYCLE: every DSpark-kernel dispatch of one draft",32,16,11.2585,797777152,70.86,"shared machine; oracle CPU run in progress"
"sum: main + 3 x stage + head tail",32,16,14.5419,0,0,"shared machine; oracle CPU run in progress"
