phase,index,slab_bytes,cum_bytes,alloc_ms,touch_ms,commit_gibps,avail_phys_bytes,avail_commit_bytes,gpu_read_gbps,status
path_a,0,2147483648,2147483648,140.471,9.770,204.704,48762826752,45020397568,0.000,ok
path_a,1,2147483648,4294967296,138.002,10.010,199.808,48745398272,42853208064,0.000,ok
path_a,2,2147483648,6442450944,138.454,10.196,196.163,48728350720,40682217472,0.000,ok
path_a,3,2147483648,8589934592,145.181,10.399,192.317,48692441088,38516293632,0.000,ok
path_a,4,2147483648,10737418240,138.907,9.927,201.473,48674627584,36345921536,0.000,ok
path_a,5,2147483648,12884901888,141.063,10.156,196.936,48656900096,34177548288,0.000,ok
path_a,6,2147483648,15032385536,143.102,9.238,216.488,48641368064,32008548352,0.000,ok
path_a,7,2147483648,17179869184,137.402,10.182,196.433,48623034368,29840044032,0.000,ok
path_a,8,2147483648,19327352832,140.709,9.728,205.586,48605323264,27670441984,0.000,ok
path_a,9,2147483648,21474836480,144.510,10.070,198.610,48588537856,25500340224,0.000,ok
path_a,10,2147483648,23622320128,140.812,9.825,203.571,48570519552,23330476032,0.000,ok
path_a,11,2147483648,25769803776,139.148,9.712,205.929,48553783296,21162270720,0.000,ok
path_a,12,2147483648,27917287424,139.628,9.746,205.204,48537755648,18994475008,0.000,ok
path_a,13,2147483648,30064771072,137.439,11.906,167.987,48518283264,16824995840,0.000,ok
path_a,14,2147483648,32212254720,139.172,13.048,153.283,48500383744,14656274432,0.000,ok
path_a,15,2147483648,34359738368,139.018,12.989,153.978,48482312192,12486754304,0.000,ok
path_a,16,2147483648,36507222016,142.722,11.969,167.101,48463843328,10316374016,0.000,ok
path_a,17,2147483648,38654705664,144.496,11.222,178.215,48444391424,8138629120,0.000,ok
path_a_total,18,2147483648,38654705664,0.000,0.000,0.000,48444383232,8138629120,0.000,floor: available commit 7.58 GiB < slab 2.00 + floor 6.00 GiB
path_a_rawread,0,2147483648,0,0.000,0.000,0.000,0,0,215.990,rawread
path_b,0,2147483648,2147483648,265.680,6.433,310.892,46579609600,45004980224,0.000,ok
path_b,1,2147483648,4294967296,270.994,6.268,319.076,44419633152,42836320256,0.000,ok
path_b,2,2147483648,6442450944,268.190,6.737,296.877,42251599872,40667807744,0.000,ok
path_b,3,2147483648,8589934592,290.681,8.472,236.080,40108519424,38510804992,0.000,ok
