phase,index,slab_bytes,cum_bytes,alloc_ms,touch_ms,commit_gibps,avail_phys_bytes,avail_commit_bytes,gpu_read_gbps,status
path_a,0,2147483648,2147483648,135.999,12.024,166.333,50391912448,144492584960,0.000,ok
path_a,1,2147483648,4294967296,143.581,11.270,177.465,50376736768,142326460416,0.000,ok
path_a,2,2147483648,6442450944,135.373,11.098,180.219,50360242176,140156141568,0.000,ok
path_a,3,2147483648,8589934592,136.660,10.181,196.450,50344157184,137988661248,0.000,ok
path_a,4,2147483648,10737418240,138.423,9.703,206.113,50327711744,135818330112,0.000,ok
path_a,5,2147483648,12884901888,139.730,10.387,192.543,50311569408,133649526784,0.000,ok
path_a,6,2147483648,15032385536,137.123,9.703,206.126,50308182016,131496476672,0.000,ok
path_a,7,2147483648,17179869184,138.256,10.197,196.138,50290864128,129327464448,0.000,ok
path_a,8,2147483648,19327352832,138.211,10.519,190.130,50273587200,127158734848,0.000,ok
path_a,9,2147483648,21474836480,136.208,10.725,186.480,50256089088,124987875328,0.000,ok
path_a,10,2147483648,23622320128,138.908,10.496,190.552,50238722048,122818756608,0.000,ok
path_a,11,2147483648,25769803776,136.156,9.781,204.470,50220490752,120649424896,0.000,ok
path_a,12,2147483648,27917287424,139.106,10.351,193.226,50194644992,118469808128,0.000,ok
path_a,13,2147483648,30064771072,141.193,10.949,182.672,50177687552,116297932800,0.000,ok
path_a,14,2147483648,32212254720,142.371,10.161,196.833,50160205824,114129936384,0.000,ok
path_a,15,2147483648,34359738368,138.499,9.933,201.345,50142457856,111960641536,0.000,ok
path_a,16,2147483648,36507222016,137.393,9.655,207.149,50122944512,109788667904,0.000,ok
path_a,17,2147483648,38654705664,141.086,11.601,172.393,50106503168,107617206272,0.000,ok
path_a,18,2147483648,40802189312,136.863,11.125,179.782,50088513536,105447485440,0.000,ok
path_a,19,2147483648,42949672960,142.385,11.785,169.707,50066915328,103274733568,0.000,ok
path_a,20,2147483648,45097156608,144.680,11.504,173.851,50049265664,101105008640,0.000,ok
path_a,21,2147483648,47244640256,141.627,11.701,170.918,50030362624,98931843072,0.000,ok
path_a,22,2147483648,49392123904,140.809,11.534,173.406,50010845184,96761024512,0.000,ok
path_a,23,2147483648,51539607552,142.395,11.104,180.112,49989271552,94588633088,0.000,ok
path_a,24,2147483648,53687091200,141.299,10.473,190.958,49970790400,92416110592,0.000,ok
path_a,25,2147483648,55834574848,147.519,10.563,189.331,49950216192,90245914624,0.000,ok
path_a,26,2147483648,57982058496,141.696,10.768,185.742,49931767808,88076247040,0.000,ok
path_a,27,2147483648,60129542144,142.711,10.532,189.892,49912504320,85905448960,0.000,ok
path_a,28,2147483648,62277025792,139.050,10.615,188.411,49891393536,83731955712,0.000,ok
path_a,29,2147483648,64424509440,142.689,10.160,196.854,49871491072,81561149440,0.000,ok
path_a,30,2147483648,66571993088,207.168,3.603,555.016,47703883776,79389806592,0.000,ok
path_a,31,2147483648,68719476736,212.973,3.634,550.312,45536952320,77219987456,0.000,ok
path_a,32,2147483648,70866960384,209.917,3.496,572.066,43368001536,75044892672,0.000,ok
path_a,33,2147483648,73014444032,217.335,3.489,573.214,41207889920,72882442240,0.000,ok
path_a,34,2147483648,75161927680,256.502,3.611,553.817,39039881216,70710149120,0.000,ok
