variant,m,lanes_per_row,rows_per_lane,subgroup,decode_mode,h_precision,slots,layer_cycle,iters,path,bytes_a,bytes_b,gbps_a,gbps_b,gbps_total,ms_a,ms_b,ms_total,ms_wall,record_us,submit_us,raw_read_gbps,launch_us
M1 L16 R1 sg32 dec0 hfp16,1,16,1,32,0,0,7,8,48,A device-local|host-visible,87736320,43868160,212.494,207.940,211.135,0.4129,0.2110,0.6233,0.6259,1.242,64.220,214.549,0.647
M1 L16 R1 sg64 dec0 hfp16,1,16,1,64,0,0,7,8,48,A device-local|host-visible,87736320,43868160,185.480,190.728,186.751,0.4730,0.2300,0.7047,0.7084,1.523,103.900,214.549,0.647
M1 L32 R1 sg32 dec0 hfp16,1,32,1,32,0,0,7,8,48,A device-local|host-visible,87736320,43868160,221.984,213.233,218.517,0.3952,0.2057,0.6023,0.6049,0.883,85.100,214.549,0.647
M1 L32 R1 sg64 dec0 hfp16,1,32,1,64,0,0,7,8,48,A device-local|host-visible,87736320,43868160,205.846,202.271,204.052,0.4262,0.2169,0.6450,0.6479,1.148,84.060,214.549,0.647
M1 L64 R1 sg32 dec0 hfp16,1,64,1,32,0,0,7,8,48,A device-local|host-visible,87736320,43868160,222.829,185.705,210.850,0.3937,0.2362,0.6242,0.6270,1.150,83.240,214.549,0.647
M1 L64 R1 sg64 dec0 hfp16,1,64,1,64,0,0,7,8,48,A device-local|host-visible,87736320,43868160,210.345,198.831,207.150,0.4171,0.2206,0.6353,0.6405,1.142,192.560,214.549,0.647
M1 L16 R1 sg32 dec1 hfp16,1,16,1,32,1,0,7,8,48,A device-local|host-visible,87736320,43868160,158.103,135.568,159.699,0.5549,0.3236,0.8241,0.8274,1.158,104.340,214.549,0.647
M1 L16 R1 sg64 dec1 hfp16,1,16,1,64,1,0,7,8,48,A device-local|host-visible,87736320,43868160,159.819,143.316,164.161,0.5490,0.3061,0.8017,0.8049,1.642,76.440,214.549,0.647
M1 L32 R1 sg32 dec1 hfp16,1,32,1,32,1,0,7,8,48,A device-local|host-visible,87736320,43868160,163.165,121.729,158.515,0.5377,0.3604,0.8302,0.8335,1.148,100.780,214.549,0.647
M1 L32 R1 sg64 dec1 hfp16,1,32,1,64,1,0,7,8,48,A device-local|host-visible,87736320,43868160,177.296,131.441,163.023,0.4949,0.3337,0.8073,0.8111,1.421,114.300,214.549,0.647
M1 L64 R1 sg32 dec1 hfp16,1,64,1,32,1,0,7,8,48,A device-local|host-visible,87736320,43868160,151.058,107.934,136.837,0.5808,0.4064,0.9618,0.9658,1.756,110.540,214.549,0.647
M1 L64 R1 sg64 dec1 hfp16,1,64,1,64,1,0,7,8,48,A device-local|host-visible,87736320,43868160,157.470,127.983,156.366,0.5572,0.3428,0.8416,0.8482,1.150,258.020,214.549,0.647
M1 L16 R1 sg32 dec2 hfp16,1,16,1,32,2,0,7,8,48,A device-local|host-visible,87736320,43868160,136.219,123.203,139.296,0.6441,0.3561,0.9448,0.9490,1.269,139.920,214.549,0.647
M1 L16 R1 sg64 dec2 hfp16,1,16,1,64,2,0,7,8,48,A device-local|host-visible,87736320,43868160,144.856,137.227,150.879,0.6057,0.3197,0.8723,0.8754,1.181,96.740,214.549,0.647
M1 L32 R1 sg32 dec2 hfp16,1,32,1,32,2,0,7,8,48,A device-local|host-visible,87736320,43868160,138.555,113.665,134.279,0.6332,0.3859,0.9801,0.9836,1.177,111.280,214.549,0.647
M1 L32 R1 sg64 dec2 hfp16,1,32,1,64,2,0,7,8,48,A device-local|host-visible,87736320,43868160,155.384,122.205,151.448,0.5646,0.3590,0.8690,0.8724,1.688,82.480,214.549,0.647
M1 L64 R1 sg32 dec2 hfp16,1,64,1,32,2,0,7,8,48,A device-local|host-visible,87736320,43868160,127.589,90.725,115.030,0.6876,0.4835,1.1441,1.1481,1.583,118.000,214.549,0.647
M1 L64 R1 sg64 dec2 hfp16,1,64,1,64,2,0,7,8,48,A device-local|host-visible,87736320,43868160,141.825,113.455,140.143,0.6186,0.3867,0.9391,0.9428,1.383,114.140,214.549,0.647
M6 L16 R1 sg32 dec0 hfp16,6,16,1,32,0,0,7,8,48,A device-local|host-visible,87736320,43868160,134.987,90.529,119.150,0.6500,0.4846,1.1045,1.1079,1.152,107.980,214.549,0.647
M6 L16 R1 sg64 dec0 hfp16,6,16,1,64,0,0,7,8,48,A device-local|host-visible,87736320,43868160,133.062,90.195,115.950,0.6594,0.4864,1.1350,1.1390,1.160,135.420,214.549,0.647
M6 L32 R1 sg32 dec0 hfp16,6,32,1,32,0,0,7,8,48,A device-local|host-visible,87736320,43868160,132.764,78.127,111.991,0.6608,0.5615,1.1751,1.1812,1.669,209.280,214.549,0.647
M6 L32 R1 sg64 dec0 hfp16,6,32,1,64,0,0,7,8,48,A device-local|host-visible,87736320,43868160,132.213,91.741,120.945,0.6636,0.4782,1.0881,1.0920,1.171,131.120,214.549,0.647
M6 L64 R1 sg32 dec0 hfp16,6,64,1,32,0,0,7,8,48,A device-local|host-visible,87736320,43868160,108.547,68.306,91.596,0.8083,0.6422,1.4368,1.4414,1.317,157.360,214.549,0.647
M6 L64 R1 sg64 dec0 hfp16,6,64,1,64,0,0,7,8,48,A device-local|host-visible,87736320,43868160,120.813,84.724,108.413,0.7262,0.5178,1.2139,1.2181,1.183,142.980,214.549,0.647
M6 L16 R1 sg32 dec1 hfp16,6,16,1,32,1,0,7,8,48,A device-local|host-visible,87736320,43868160,89.319,79.425,86.014,0.9823,0.5523,1.5300,1.5348,1.319,164.440,214.549,0.647
M6 L16 R1 sg64 dec1 hfp16,6,16,1,64,1,0,7,8,48,A device-local|host-visible,87736320,43868160,88.659,83.252,87.070,0.9896,0.5269,1.5115,1.5162,1.840,137.740,214.549,0.647
M6 L32 R1 sg32 dec1 hfp16,6,32,1,32,1,0,7,8,48,A device-local|host-visible,87736320,43868160,80.617,71.174,76.674,1.0883,0.6164,1.7164,1.7219,1.490,193.380,214.549,0.647
M6 L32 R1 sg64 dec1 hfp16,6,32,1,64,1,0,7,8,48,A device-local|host-visible,87736320,43868160,83.214,77.589,80.510,1.0544,0.5654,1.6346,1.6398,1.385,180.980,214.549,0.647
M6 L64 R1 sg32 dec1 hfp16,6,64,1,32,1,0,7,8,48,A device-local|host-visible,87736320,43868160,68.674,57.367,64.317,1.2776,0.7647,2.0462,2.0530,1.817,241.620,214.549,0.647
M6 L64 R1 sg64 dec1 hfp16,6,64,1,64,1,0,7,8,48,A device-local|host-visible,87736320,43868160,70.228,74.041,71.222,1.2493,0.5925,1.8478,1.8533,1.300,202.680,214.549,0.647
M6 L16 R1 sg32 dec2 hfp16,6,16,1,32,2,0,7,8,48,A device-local|host-visible,87736320,43868160,75.996,73.963,74.818,1.1545,0.5931,1.7590,1.7649,1.775,197.520,214.549,0.647
M6 L16 R1 sg64 dec2 hfp16,6,16,1,64,2,0,7,8,48,A device-local|host-visible,87736320,43868160,76.431,81.159,77.440,1.1479,0.5405,1.6994,1.7049,1.227,201.440,214.549,0.647
M6 L32 R1 sg32 dec2 hfp16,6,32,1,32,2,0,7,8,48,A device-local|host-visible,87736320,43868160,72.611,65.797,68.965,1.2083,0.6667,1.9083,1.9144,1.181,234.720,214.549,0.647
M6 L32 R1 sg64 dec2 hfp16,6,32,1,64,2,0,7,8,48,A device-local|host-visible,87736320,43868160,73.726,74.052,73.360,1.1900,0.5924,1.7939,1.7998,1.338,215.720,214.549,0.647
M6 L64 R1 sg32 dec2 hfp16,6,64,1,32,2,0,7,8,48,A device-local|host-visible,87736320,43868160,61.321,53.003,57.603,1.4308,0.8277,2.2847,2.2912,1.837,225.220,214.549,0.647
M6 L64 R1 sg64 dec2 hfp16,6,64,1,64,2,0,7,8,48,A device-local|host-visible,87736320,43868160,62.565,66.785,62.675,1.4023,0.6569,2.0998,2.1058,1.267,229.640,214.549,0.647
M1 L16 R2 sg32 dec0 hfp16,1,16,2,32,0,0,7,8,48,A device-local|host-visible,87736320,43868160,165.936,202.192,177.256,0.5287,0.2170,0.7425,0.7456,1.169,93.620,214.549,0.647
M1 L16 R2 sg64 dec0 hfp16,1,16,2,64,0,0,7,8,48,A device-local|host-visible,87736320,43868160,180.204,172.674,178.688,0.4869,0.2541,0.7365,0.7400,2.521,48.860,214.549,0.647
M1 L32 R2 sg32 dec0 hfp16,1,32,2,32,0,0,7,8,48,A device-local|host-visible,87736320,43868160,197.335,194.118,197.180,0.4446,0.2260,0.6674,0.6703,1.144,84.380,214.549,0.647
M1 L32 R2 sg64 dec0 hfp16,1,32,2,64,0,0,7,8,48,A device-local|host-visible,87736320,43868160,193.189,147.213,176.353,0.4541,0.2980,0.7463,0.7498,1.152,114.600,214.549,0.647
M1 L64 R2 sg32 dec0 hfp16,1,64,2,32,0,0,7,8,48,A device-local|host-visible,87736320,43868160,198.636,172.606,193.613,0.4417,0.2542,0.6797,0.6827,1.140,87.300,214.549,0.647
M1 L64 R2 sg64 dec0 hfp16,1,64,2,64,0,0,7,8,48,A device-local|host-visible,87736320,43868160,198.627,170.979,191.559,0.4417,0.2566,0.6870,0.6901,1.252,85.620,214.549,0.647
M1 L16 R4 sg32 dec0 hfp16,1,16,4,32,0,0,7,8,48,A device-local|host-visible,87736320,43868160,173.983,185.535,177.700,0.5043,0.2364,0.7406,0.7444,1.740,99.180,214.549,0.647
M1 L16 R4 sg64 dec0 hfp16,1,16,4,64,0,0,7,8,48,A device-local|host-visible,87736320,43868160,167.901,178.772,171.712,0.5225,0.2454,0.7664,0.7696,1.188,96.180,214.549,0.647
M1 L32 R4 sg32 dec0 hfp16,1,32,4,32,0,0,7,8,48,A device-local|host-visible,87736320,43868160,185.577,193.072,189.843,0.4728,0.2272,0.6932,0.6966,1.140,109.520,214.549,0.647
M1 L32 R4 sg64 dec0 hfp16,1,32,4,64,0,0,7,8,48,A device-local|host-visible,87736320,43868160,183.882,189.880,185.993,0.4771,0.2310,0.7076,0.7112,1.985,80.520,214.549,0.647
M1 L64 R4 sg32 dec0 hfp16,1,64,4,32,0,0,7,8,48,A device-local|host-visible,87736320,43868160,179.172,173.664,179.342,0.4897,0.2526,0.7338,0.7370,1.350,87.800,214.549,0.647
