section,variant,m,lanes_per_row,rows_per_lane,subgroup,decode_mode,h_precision,x_mode,h_quant,fp8_path,fp8_slots,slots,layer_cycle,iters,path,bytes_a,bytes_b,gbps_a,gbps_b,gbps_total,pct_ceiling,ms_a,ms_b,ms_total,ms_per_token,ms_wall,record_us,submit_us,raw_read_gbps,launch_us
M x RowsPerLane,M1 L16 R1 sg32 dec0 hfp16 xglob,1,16,1,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,215.781,210.590,212.709,97.63,0.4066,0.2083,0.6187,0.61871,0.6210,0.719,74.020,217.866,0.563
M x RowsPerLane,M1 L16 R2 sg32 dec0 hfp16 xglob,1,16,2,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,169.426,206.084,179.310,82.30,0.5178,0.2129,0.7340,0.73395,0.7363,0.479,91.060,217.866,0.563
M x RowsPerLane,M1 L16 R4 sg32 dec0 hfp16 xglob,1,16,4,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,172.118,182.905,182.386,83.71,0.5097,0.2398,0.7216,0.72157,0.7248,1.375,90.600,217.866,0.563
M x RowsPerLane,M1 L16 R8 sg32 dec0 hfp16 xglob,1,16,8,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,136.262,142.990,138.596,63.62,0.6439,0.3068,0.9496,0.94956,0.9536,1.329,129.320,217.866,0.563
M x RowsPerLane,M1 L16 R16 sg32 dec0 hfp16 xglob,1,16,16,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,84.597,57.992,73.851,33.90,1.0371,0.7565,1.7820,1.78202,1.7887,1.479,251.240,217.866,0.563
M x RowsPerLane,M1 L32 R1 sg32 dec0 hfp16 xglob,1,32,1,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,224.291,217.361,222.594,102.17,0.3912,0.2018,0.5912,0.59123,0.5949,1.348,111.420,217.866,0.563
M x RowsPerLane,M1 L32 R2 sg32 dec0 hfp16 xglob,1,32,2,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,200.202,197.517,199.170,91.42,0.4382,0.2221,0.6608,0.66077,0.6642,1.365,101.680,217.866,0.563
M x RowsPerLane,M1 L32 R4 sg32 dec0 hfp16 xglob,1,32,4,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,192.363,200.563,194.132,89.11,0.4561,0.2187,0.6779,0.67791,0.6813,1.342,99.660,217.866,0.563
M x RowsPerLane,M1 L32 R8 sg32 dec0 hfp16 xglob,1,32,8,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,162.586,168.404,165.458,75.95,0.5396,0.2605,0.7954,0.79539,0.7991,1.969,83.320,217.866,0.563
M x RowsPerLane,M1 L32 R16 sg32 dec0 hfp16 xglob,1,32,16,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,92.399,83.101,88.852,40.78,0.9495,0.5279,1.4812,1.48116,1.4866,1.363,195.200,217.866,0.563
M x RowsPerLane,M1 L64 R1 sg32 dec0 hfp16 xglob,1,64,1,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,225.280,192.564,215.903,99.10,0.3895,0.2278,0.6096,0.60955,0.6128,1.583,79.980,217.866,0.563
M x RowsPerLane,M1 L64 R2 sg32 dec0 hfp16 xglob,1,64,2,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,204.543,180.966,198.198,90.97,0.4289,0.2424,0.6640,0.66401,0.6675,1.373,99.860,217.866,0.563
M x RowsPerLane,M1 L64 R4 sg32 dec0 hfp16 xglob,1,64,4,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,182.871,174.966,184.974,84.90,0.4798,0.2507,0.7115,0.71147,0.7156,1.360,133.440,217.866,0.563
M x RowsPerLane,M1 L64 R8 sg32 dec0 hfp16 xglob,1,64,8,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,178.828,159.975,172.578,79.21,0.4906,0.2742,0.7626,0.76258,0.7658,1.354,91.020,217.866,0.563
M x RowsPerLane,M1 L64 R16 sg32 dec0 hfp16 xglob,1,64,16,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,94.323,80.562,88.977,40.84,0.9302,0.5445,1.4791,1.47909,1.4842,1.560,170.780,217.866,0.563
M x RowsPerLane,M2 L16 R1 sg32 dec0 hfp16 xglob,2,16,1,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,192.923,188.862,194.651,89.34,0.4548,0.2323,0.6761,0.33805,0.6795,1.360,96.260,217.866,0.563
M x RowsPerLane,M2 L16 R2 sg32 dec0 hfp16 xglob,2,16,2,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,186.809,183.350,186.851,85.76,0.4697,0.2393,0.7043,0.35216,0.7087,1.790,121.840,217.866,0.563
