section,variant,m,lanes_per_row,rows_per_lane,subgroup,decode_mode,h_precision,x_mode,h_quant,fp8_path,fp8_slots,slots,layer_cycle,iters,path,bytes_a,bytes_b,gbps_a,gbps_b,gbps_total,pct_ceiling,ms_a,ms_b,ms_total,ms_per_token,ms_wall,record_us,submit_us,raw_read_gbps,launch_us
M x RowsPerLane,M1 L16 R1 sg32 dec0 hfp16 xglob,1,16,1,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,213.511,208.183,209.802,96.32,0.4109,0.2107,0.6273,0.62728,0.6299,0.879,82.320,217.820,0.547
M x RowsPerLane,M1 L16 R2 sg32 dec0 hfp16 xglob,1,16,2,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,162.100,192.133,174.007,79.89,0.5412,0.2283,0.7563,0.75632,0.7603,1.394,126.120,217.820,0.547
M x RowsPerLane,M1 L16 R4 sg32 dec0 hfp16 xglob,1,16,4,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,165.772,173.459,171.444,78.71,0.5293,0.2529,0.7676,0.76763,0.7708,1.233,94.960,217.820,0.547
M x RowsPerLane,M1 L16 R8 sg32 dec0 hfp16 xglob,1,16,8,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,136.066,137.498,137.213,62.99,0.6448,0.3190,0.9591,0.95912,0.9626,1.079,115.780,217.820,0.547
M x RowsPerLane,M1 L16 R16 sg32 dec0 hfp16 xglob,1,16,16,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,83.255,57.556,72.147,33.12,1.0538,0.7622,1.8241,1.82412,1.8313,1.431,274.600,217.820,0.547
M x RowsPerLane,M1 L32 R1 sg32 dec0 hfp16 xglob,1,32,1,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,223.741,217.847,220.872,101.40,0.3921,0.2014,0.5958,0.59584,0.5985,1.485,57.340,217.820,0.547
M x RowsPerLane,M1 L32 R2 sg32 dec0 hfp16 xglob,1,32,2,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,199.415,195.906,195.709,89.85,0.4400,0.2239,0.6725,0.67245,0.6749,0.600,90.400,217.820,0.547
M x RowsPerLane,M1 L32 R4 sg32 dec0 hfp16 xglob,1,32,4,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,184.032,190.500,189.256,86.89,0.4767,0.2303,0.6954,0.69538,0.6984,1.242,86.600,217.820,0.547
M x RowsPerLane,M1 L32 R8 sg32 dec0 hfp16 xglob,1,32,8,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,161.346,166.873,162.514,74.61,0.5438,0.2629,0.8098,0.80980,0.8129,0.623,119.580,217.820,0.547
M x RowsPerLane,M1 L32 R16 sg32 dec0 hfp16 xglob,1,32,16,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,92.440,83.266,88.424,40.59,0.9491,0.5268,1.4883,1.48833,1.4939,1.331,201.500,217.820,0.547
M x RowsPerLane,M1 L64 R1 sg32 dec0 hfp16 xglob,1,64,1,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,225.374,193.067,212.862,97.72,0.3893,0.2272,0.6183,0.61826,0.6211,1.046,86.840,217.820,0.547
M x RowsPerLane,M1 L64 R2 sg32 dec0 hfp16 xglob,1,64,2,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,205.551,178.756,195.218,89.62,0.4268,0.2454,0.6741,0.67414,0.6772,2.858,7.460,217.820,0.547
M x RowsPerLane,M1 L64 R4 sg32 dec0 hfp16 xglob,1,64,4,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,184.961,172.653,179.804,82.55,0.4744,0.2541,0.7319,0.73193,0.7350,1.488,77.080,217.820,0.547
M x RowsPerLane,M1 L64 R8 sg32 dec0 hfp16 xglob,1,64,8,32,0,0,0,0,0,0,7,8,48,A device-local|host-visible,87736320,43868160,178.900,157.154,170.640,78.34,0.4904,0.2791,0.7712,0.77124,0.7735,0.519,83.700,217.820,0.547
