context,layer,ratio,m,iters,ms_per_layer,ms_per_token
l3,2,2,1,30,1.2826,1.2826
l3,2,2,2,30,1.6640,0.8320
l3,2,2,4,30,2.5116,0.6279
l3,2,2,6,30,3.3841,0.5640
l3,20,1,1,30,1.3320,1.3320
l3,20,1,2,30,1.6296,0.8148
l3,20,1,4,30,2.4209,0.6052
l3,20,1,6,30,3.2056,0.5343
ctx4k,2,2,1,30,1.5225,1.5225
ctx4k,2,2,2,30,2.0393,1.0196
ctx4k,2,2,4,30,3.1803,0.7951
ctx4k,2,2,6,30,4.2337,0.7056
ctx4k,20,1,1,30,1.5656,1.5656
ctx4k,20,1,2,30,2.1766,1.0883
ctx4k,20,1,4,30,3.4807,0.8702
ctx4k,20,1,6,30,4.6685,0.7781
