pattern,chunk_kb,qd,bytes,seconds,gbps,iops,mean_latency_ms,max_latency_ms
seq,64,1,3145728,0.035326,0.0890,1358,0.7334,4.0361
seq,64,2,3145728,0.005150,0.6109,9321,0.2099,0.4061
seq,64,4,3145728,0.002777,1.1328,17285,0.2232,0.3861
seq,64,8,3145728,0.001841,1.7089,26075,0.2919,0.5763
seq,64,16,3145728,0.001349,2.3317,35579,0.3697,0.6957
seq,64,32,3145728,0.001342,2.3449,35780,0.6877,1.0215
seq,64,64,3145728,0.001588,1.9812,30230,1.3827,1.5678
seq,256,1,12582912,0.013354,0.9423,3594,0.2768,0.4822
seq,256,2,12582912,0.018987,0.6627,2528,0.7829,3.7121
seq,256,4,12582912,0.006267,2.0077,7658,0.5114,0.8299
seq,256,8,12582912,0.004763,2.6420,10078,0.7343,1.2178
seq,256,16,12582912,0.003849,3.2690,12470,1.1001,1.9096
seq,256,32,12582912,0.003666,3.4325,13094,1.8366,3.2730
seq,256,64,12582912,0.003893,3.2320,12329,3.1492,3.8816
seq,1024,1,50331648,0.024806,2.0291,1935,0.5143,0.8593
seq,1024,2,50331648,0.019844,2.5363,2418,0.8194,1.3371
seq,1024,4,50331648,0.013358,3.7678,3593,1.0863,1.6530
seq,1024,8,50331648,0.012072,4.1692,3976,1.8782,3.2575
seq,1024,16,50331648,0.012273,4.1012,3911,3.5389,5.7895
seq,1024,32,50331648,0.012307,4.0895,3900,6.0187,10.5848
seq,1024,64,50331648,0.012346,4.0768,3887,9.5862,12.3274
seq,2048,1,100663296,0.038691,2.6017,1240,0.8043,1.3829
seq,2048,2,100663296,0.031225,3.2238,1537,1.2912,1.8722
seq,2048,4,100663296,0.023444,4.2938,2047,1.8871,2.8216
seq,2048,8,100663296,0.022811,4.4129,2104,3.5483,6.0905
seq,2048,16,100663296,0.022931,4.3898,2093,6.8024,13.5433
seq,2048,32,100663296,0.021965,4.5828,2185,10.7287,17.6491
seq,2048,64,100663296,0.022049,4.5655,2176,18.0773,22.0304
seq,4096,1,201326592,0.063174,3.1869,759,1.3138,2.0141
seq,4096,2,201326592,0.054987,3.6614,872,2.2644,3.5194
seq,4096,4,201326592,0.044535,4.5207,1077,3.5911,5.7482
seq,4096,8,201326592,0.044355,4.5390,1082,6.9073,9.1990
seq,4096,16,201326592,0.044740,4.4999,1072,13.3169,27.8527
seq,4096,32,201326592,0.043146,4.6662,1112,20.5014,32.4580
seq,4096,64,201326592,0.044185,4.5564,1086,37.6773,44.1608
seq,8192,1,402653184,0.165042,2.4397,290,3.4355,5.6783
seq,8192,2,402653184,0.157305,2.5597,305,6.4874,9.3815
seq,8192,4,402653184,0.112952,3.5648,424,9.1732,13.0861
seq,8192,8,402653184,0.109295,3.6841,439,16.9622,28.4553
seq,8192,16,402653184,0.106034,3.7974,452,31.0395,49.7129
seq,8192,32,402653184,0.102489,3.9287,468,49.7018,83.2825
seq,8192,64,402653184,0.100961,3.9882,475,69.7378,100.9359
seq,18360,1,902430720,0.345089,2.6151,139,7.1869,11.2599
seq,18360,2,902430720,0.268461,3.3615,178,11.0796,15.2646
seq,18360,4,902430720,0.223602,4.0359,214,17.9467,27.5587
seq,18360,8,902430720,0.217740,4.1445,220,34.0386,52.3915
seq,18360,16,902430720,0.224514,4.0195,213,65.3636,117.7322
seq,18360,32,902430720,0.224366,4.0221,213,104.2954,177.6536
seq,18360,64,902430720,0.223987,4.0289,214,134.1484,223.9479
rand,64,1,3145728,0.058745,0.0535,817,1.2210,4.2200
rand,64,2,3145728,0.030986,0.1015,1549,1.2810,5.8202
