pattern,chunk_kb,qd,bytes,seconds,gbps,iops,mean_latency_ms,max_latency_ms
rand,1024,1,50331648,0.017147,2.9353,2799,0.3562,1.1967
rand,1024,4,50331648,0.009934,5.0665,4831,0.8075,1.1602
rand,1024,8,50331648,0.010120,4.9736,4743,1.5840,2.0853
rand,2048,1,100663296,0.028183,3.5718,1703,0.5858,0.8863
rand,2048,4,100663296,0.019709,5.1075,2435,1.6033,2.1624
rand,2048,8,100663296,0.019959,5.0434,2404,3.1156,4.0250
rand,4096,1,201326592,0.050198,4.0107,956,1.0444,1.5978
rand,4096,4,201326592,0.039048,5.1559,1229,3.1731,4.1144
rand,4096,8,201326592,0.039246,5.1299,1223,6.1264,7.2662
rand,9184,1,451411968,0.105955,4.2604,453,2.2051,3.2311
rand,9184,4,451411968,0.088204,5.1178,544,7.1320,8.8964
rand,9184,8,451411968,0.087917,5.1345,545,13.6564,16.2989
rand,18360,1,902430720,0.200880,4.4924,238,4.1831,5.9829
rand,18360,4,902430720,0.175064,5.1548,274,14.1630,17.1635
rand,18360,8,902430720,0.175485,5.1425,273,27.1931,31.6722
rand4k,4,48,2097152,0.004826,0.4345,106087,0.4383,0.9633
