mode,working_set_bytes,readers,per_reader_gbps,aggregate_gbps,seconds
shared,131072,1,230.837,230.837,0.001163
shared,131072,2,226.727,453.454,0.001184
shared,131072,4,211.573,846.292,0.001269
shared,131072,8,205.805,1646.439,0.001304
shared,131072,16,193.738,3099.806,0.001386
shared,131072,32,135.289,4329.255,0.001984
shared,131072,40,116.250,4650.004,0.002309
shared,131072,80,103.550,8284.022,0.002592
shared,131072,160,68.522,10963.485,0.003918
shared,131072,320,31.392,10045.438,0.008551
shared,1048576,1,139.441,139.441,0.001925
shared,1048576,2,146.718,293.436,0.001830
shared,1048576,4,152.026,608.104,0.001766
shared,1048576,8,147.554,1180.429,0.001819
shared,1048576,16,150.502,2408.033,0.001784
shared,1048576,32,120.310,3849.917,0.002231
shared,1048576,40,108.796,4351.855,0.002467
shared,1048576,80,106.168,8493.449,0.002528
shared,1048576,160,68.871,11019.292,0.003898
shared,1048576,320,31.446,10062.666,0.008536
shared,4194304,1,96.194,96.194,0.002791
shared,4194304,2,97.694,195.388,0.002748
shared,4194304,4,98.568,394.271,0.002723
shared,4194304,8,98.813,790.504,0.002717
shared,4194304,16,97.152,1554.435,0.002763
shared,4194304,32,91.992,2943.734,0.002918
shared,4194304,40,85.004,3400.155,0.003158
shared,4194304,80,83.913,6713.068,0.003199
shared,4194304,160,72.133,11541.268,0.003721
shared,4194304,320,36.542,11693.477,0.007346
shared,8388608,1,102.375,102.375,0.002622
shared,8388608,2,102.983,205.966,0.002607
shared,8388608,4,101.267,405.069,0.002651
shared,8388608,8,98.957,791.658,0.002713
shared,8388608,16,99.112,1585.795,0.002708
shared,8388608,32,96.044,3073.410,0.002795
shared,8388608,40,90.097,3603.886,0.002979
shared,8388608,80,83.125,6650.039,0.003229
shared,8388608,160,70.824,11331.889,0.003790
shared,8388608,320,20.117,6437.282,0.013344
shared,16777216,1,90.121,90.121,0.002979
shared,16777216,2,98.012,196.024,0.002739
shared,16777216,4,96.400,385.600,0.002785
shared,16777216,8,98.423,787.385,0.002727
shared,16777216,16,97.345,1557.525,0.002758
shared,16777216,32,92.359,2955.483,0.002906
shared,16777216,40,84.431,3377.226,0.003179
shared,16777216,80,79.204,6336.330,0.003389
shared,16777216,160,69.391,11102.582,0.003868
shared,16777216,320,22.950,7343.933,0.011697
shared,33554432,1,72.445,72.445,0.003705
shared,33554432,2,84.760,169.520,0.003167
shared,33554432,4,91.930,367.720,0.002920
shared,33554432,8,97.217,777.736,0.002761
shared,33554432,16,96.363,1541.802,0.002786
shared,33554432,32,87.277,2792.857,0.003076
shared,33554432,40,83.644,3345.741,0.003209
shared,33554432,80,79.357,6348.543,0.003383
shared,33554432,160,57.333,9173.282,0.004682
shared,33554432,320,17.904,5729.205,0.014993
shared,67108864,1,44.406,44.406,0.006045
shared,67108864,2,49.072,98.145,0.005470
shared,67108864,4,49.979,199.915,0.005371
shared,67108864,8,50.097,400.773,0.005358
shared,67108864,16,50.186,802.984,0.005349
shared,67108864,32,50.125,1604.012,0.005355
shared,67108864,40,49.463,1978.533,0.005427
shared,67108864,80,47.653,3812.218,0.005633
shared,67108864,160,45.648,7303.720,0.005881
shared,67108864,320,30.234,9674.744,0.008879
shared,134217728,1,44.294,44.294,0.006060
shared,134217728,2,47.674,95.349,0.005631
shared,134217728,4,49.991,199.962,0.005370
shared,134217728,8,50.133,401.066,0.005354
shared,134217728,16,50.119,801.898,0.005356
shared,134217728,32,50.084,1602.695,0.005360
shared,134217728,40,49.203,1968.117,0.005456
shared,134217728,80,47.618,3809.459,0.005637
shared,134217728,160,44.662,7145.988,0.006010
shared,134217728,320,29.664,9492.522,0.009049
disjoint,131072,1,140.513,140.513,0.001910
disjoint,131072,2,156.431,312.862,0.001716
disjoint,131072,4,208.516,834.065,0.000644
disjoint,131072,8,198.594,1588.752,0.000338
disjoint,1048576,1,125.585,125.585,0.002137
disjoint,1048576,2,136.309,272.617,0.001969
disjoint,1048576,4,138.449,553.795,0.001939
disjoint,1048576,8,139.519,1116.156,0.001924
disjoint,1048576,16,125.830,2013.279,0.002133
disjoint,1048576,32,252.194,8070.213,0.000532
disjoint,1048576,40,226.017,9040.666,0.000297
disjoint,4194304,1,91.382,91.382,0.002938
disjoint,4194304,2,94.343,188.686,0.002845
disjoint,4194304,4,93.772,375.088,0.002863
disjoint,4194304,8,91.591,732.730,0.002931
disjoint,4194304,16,58.960,943.360,0.004553
disjoint,4194304,32,29.693,950.185,0.009040
disjoint,4194304,40,20.466,818.640,0.012296
disjoint,4194304,80,10.225,817.970,0.019690
disjoint,4194304,160,5.122,819.590,0.013101
disjoint,8388608,1,91.508,91.508,0.002933
disjoint,8388608,2,90.686,181.373,0.002960
disjoint,8388608,4,93.403,373.611,0.002874
disjoint,8388608,8,89.792,718.337,0.002990
disjoint,8388608,16,58.966,943.460,0.004552
disjoint,8388608,32,28.406,908.984,0.009450
disjoint,8388608,40,20.449,817.965,0.012307
disjoint,8388608,80,10.220,817.595,0.024624
disjoint,8388608,160,5.112,817.925,0.039383
disjoint,8388608,320,2.552,816.790,0.026292
disjoint,16777216,1,86.545,86.545,0.003102
disjoint,16777216,2,91.713,183.425,0.002927
disjoint,16777216,4,95.689,382.757,0.002805
disjoint,16777216,8,91.365,730.924,0.002938
disjoint,16777216,16,58.900,942.400,0.004557
disjoint,16777216,32,29.553,945.711,0.009083
disjoint,16777216,40,23.643,945.713,0.011088
disjoint,16777216,80,11.157,892.587,0.022555
disjoint,16777216,160,5.447,871.581,0.046198
disjoint,16777216,320,2.543,813.747,0.079170
disjoint,33554432,1,72.167,72.167,0.003720
disjoint,33554432,2,94.094,188.188,0.002853
disjoint,33554432,4,94.413,377.653,0.002843
disjoint,33554432,8,92.428,739.420,0.002904
disjoint,33554432,16,58.866,941.862,0.004560
disjoint,33554432,32,29.505,944.173,0.009098
disjoint,33554432,40,23.622,944.893,0.011319
disjoint,33554432,80,11.293,903.415,0.023214
disjoint,33554432,160,5.377,860.318,0.046803
disjoint,33554432,320,2.556,817.971,0.098452
disjoint,67108864,1,48.437,48.437,0.005542
disjoint,67108864,2,48.013,96.026,0.005591
disjoint,67108864,4,43.927,175.708,0.006111
disjoint,67108864,8,28.894,231.151,0.009290
