section,kernel,variant,n,rows,k,weight_bytes,ms,rows_per_s,eff_gbps,rel_l2,cos,load
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,attn (coop, submit+wait),4133,200,0,0,16456.1,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,gpu: attn P.V tiles,4133,200,0,0,6408.7,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,gpu: attn score tiles,4133,200,0,0,4482.4,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,coop 8192x4096 wfp8 xf32,4133,180,0,0,3268.8,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,gpu: attn gather,4133,200,0,0,3207.6,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,coop 32768x1280 wfp8 xq,4133,180,0,0,3172.5,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,coop 5120x8192 wfp8 xq,4133,180,0,0,3011.0,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,gemm 25600x6144 wfp8 xq,4133,2,0,0,2979.3,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,prefill_attn s2,4133,32,0,0,2081.8,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,gpu: attn softmax,4133,200,0,0,1289.5,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,host: index score readback,4133,32,0,0,1100.6,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,prefill_elem s5,4133,480,0,0,944.2,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,gemm 1280x5120 wfp8 xq,4133,20,0,0,872.4,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,prefill_elem s4,4133,80,0,0,826.5,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,gpu: attn q16,4133,200,0,0,818.2,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,host: index top-k,4133,32,0,0,738.9,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,prefill_elem s7,4133,2,0,0,496.3,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,gemm 512x5120 wfp8 xq,4133,20,0,0,279.0,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,gemm 24x20480 wfp32 xf32,4133,80,0,0,278.3,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,gemm 384x5120 wbf16 xf32,4133,20,0,0,260.1,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,prefill_elem s2,4133,81,0,0,259.2,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,prefill_elem s0,4133,322,0,0,256.7,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,prefill_elem s1,4133,88,0,0,222.8,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,gpu: attn finish,4133,200,0,0,164.1,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,gemm 512x5120 wbf16 xf32,4133,7,0,0,160.3,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,coop 4096x1280 wfp8 xq,4133,29,0,0,116.7,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,gemm 32768x1280 wfp8 xq,4133,20,0,0,94.4,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,coop 512x5120 wfp8 xq,4133,20,0,0,56.5,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,gemm 5120x8192 wfp8 xq,4133,20,0,0,56.1,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,coop 1280x5120 wfp8 xq,4133,20,0,0,55.5,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,coop 384x5120 wbf16 xf32,4133,20,0,0,47.4,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,gemm 8192x4096 wfp8 xf32,4133,20,0,0,45.5,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,host: gate top-6 readback,4133,40,0,0,44.7,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,coop 128x512 wbf16 xf32,4133,4,0,0,38.8,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 4 ht 1 tt 2,prefill_elem s3,4133,80,0,0,14.6,0,0,0,0,"lock fin-s, another track's deepmoe_tests on the GPU/NVMe"
