section,kernel,variant,n,rows,k,weight_bytes,ms,rows_per_s,eff_gbps,rel_l2,cos,load
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,attn (coop, submit+wait),4133,200,0,0,21054.7,0,0,0,0,"quiet, lock fin-s"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,gpu: attn P.V tiles,4133,200,0,0,13194.7,0,0,0,0,"quiet, lock fin-s"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,prefill_elem s2,4133,81,0,0,3813.9,0,0,0,0,"quiet, lock fin-s"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,gemm 8192x4096 wfp8 xf32,4133,200,0,0,3627.0,0,0,0,0,"quiet, lock fin-s"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,gpu: attn score tiles,4133,200,0,0,3516.4,0,0,0,0,"quiet, lock fin-s"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,coop 32768x1280 wfp8 xq,4133,180,0,0,2998.1,0,0,0,0,"quiet, lock fin-s"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,coop 5120x8192 wfp8 xq,4133,180,0,0,2955.4,0,0,0,0,"quiet, lock fin-s"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,gemm 25600x6144 wfp8 xq,4133,2,0,0,2189.8,0,0,0,0,"quiet, lock fin-s"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,gpu: attn gather,4133,200,0,0,2053.1,0,0,0,0,"quiet, lock fin-s"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,prefill_attn s2,4133,32,0,0,1776.0,0,0,0,0,"quiet, lock fin-s"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,gpu: attn softmax,4133,200,0,0,1292.2,0,0,0,0,"quiet, lock fin-s"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64,host: gate readback,4133,40,0,0,1227.8,0,0,0,0,"quiet, lock fin-s"
