section,kernel,variant,n,rows,k,weight_bytes,ms,rows_per_s,eff_gbps,rel_l2,cos,load
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,attn (coop, submit+wait),4133,200,0,0,21356.4,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,gpu: attn P.V tiles,4133,200,0,0,13119.4,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,gemm 8192x4096 wfp8 xf32,4133,200,0,0,3937.5,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,prefill_elem s2,4133,81,0,0,3895.5,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,gpu: attn score tiles,4133,200,0,0,3627.4,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,coop 5120x8192 wfp8 xq,4133,180,0,0,3129.5,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,coop 32768x1280 wfp8 xq,4133,180,0,0,2979.6,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,gemm 25600x6144 wfp8 xq,4133,2,0,0,2517.3,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,gpu: attn gather,4133,200,0,0,2171.7,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,prefill_attn s2,4133,32,0,0,1841.2,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,gpu: attn softmax,4133,200,0,0,1426.6,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,host: gate readback,4133,40,0,0,1265.4,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,host: index score readback,4133,32,0,0,1064.9,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,prefill_elem s5,4133,480,0,0,892.2,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,host: gate top-6,4133,40,0,0,841.7,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,gpu: attn q16,4133,200,0,0,816.9,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,prefill_elem s4,4133,80,0,0,798.9,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,host: index top-k,4133,32,0,0,695.4,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,coop 1280x5120 wfp8 xq,4133,40,0,0,617.7,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,coop 512x5120 wfp8 xq,4133,40,0,0,386.3,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,coop 384x5120 wbf16 xf32,4133,40,0,0,334.2,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,prefill_elem s7,4133,2,0,0,253.9,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,prefill_elem s0,4133,322,0,0,230.1,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,prefill_elem s1,4133,88,0,0,183.5,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,gemm 24x20480 wfp32 xf32,4133,80,0,0,175.0,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,gpu: attn finish,4133,200,0,0,110.5,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,coop 512x5120 wbf16 xf32,4133,7,0,0,110.1,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,coop 4096x1280 wfp8 xq,4133,29,0,0,99.6,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,gemm 32768x1280 wfp8 xq,4133,20,0,0,92.3,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,gemm 5120x8192 wfp8 xq,4133,20,0,0,55.2,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,coop 128x512 wbf16 xf32,4133,4,0,0,42.2,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,gemm 129280x5120 wbf16 xf32,4133,1,0,0,9.6,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,prefill_elem s3,4133,80,0,0,9.4,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,gemm 32x5120 wbf16 xf32,4133,32,0,0,6.9,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,host: MoE CSR,4133,40,0,0,2.7,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,gemm 4096x1280 wfp8 xq,4133,3,0,0,1.6,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,prefill_elem s6,4133,3,0,0,0.7,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,host: candidate blocks,4133,32,0,0,0.0,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,total,4133,10556,0,198546030592,181623.7,22.8,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,embed,4133,10556,0,198546030592,573.5,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,engram_io,4133,10556,0,198546030592,32380.6,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,engram_gpu,4133,10556,0,198546030592,2784.7,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,mhc,4133,10556,0,198546030592,4876.5,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,attention,4133,10556,0,198546030592,38223.3,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,gate_route,4133,10556,0,198546030592,2485.5,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,shared_expert,4133,10556,0,198546030592,3218.0,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,expert_io,4133,10556,0,198546030592,68633.0,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,expert_gpu,4133,10556,0,198546030592,27109.9,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,head,4133,10556,0,198546030592,22.6,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
prefill,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 1 ht 1,host_other,4133,10556,0,198546030592,1316.0,0.0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 8 ht 1,attn (coop, submit+wait),4133,200,0,0,11882.4,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
op,N=4133 replay 128 MoE coopmat n>=16 dense coopmat n>=64 pv_dv 8 ht 1,gemm 8192x4096 wfp8 xf32,4133,200,0,0,4711.7,0,0,0,0,"lock fin-s, 3 deepmoe_tests concurrent"
