pattern,chunk_kb,qd,bytes,seconds,gbps,iops,mean_latency_ms,max_latency_ms
rand,1024,1,50331648,0.030378,1.6569,1580,0.6315,1.4366
rand,1024,4,50331648,0.014307,3.5181,3355,1.1543,1.8908
rand,1024,8,50331648,0.012311,4.0885,3899,1.9173,3.0716
rand,2048,1,100663296,0.042390,2.3747,1132,0.8813,1.3105
rand,2048,4,100663296,0.024680,4.0787,1944,1.9986,2.9144
rand,2048,8,100663296,0.022702,4.4342,2114,3.5290,5.6965
rand,4096,1,201326592,0.066636,3.0213,720,1.3864,1.7798
rand,4096,4,201326592,0.045933,4.3831,1045,3.7269,5.3996
rand,4096,8,201326592,0.043944,4.5814,1092,6.8353,10.8682
rand,9184,1,451411968,0.124016,3.6400,387,2.5804,3.5202
rand,9184,4,451411968,0.098059,4.6034,489,7.9484,10.8151
rand,9184,8,451411968,0.097947,4.6088,490,15.1820,26.7590
rand,18360,1,902430720,0.232910,3.8746,206,4.8495,6.3709
rand,18360,4,902430720,0.194210,4.6467,247,15.7518,23.6949
rand,18360,8,902430720,0.194557,4.6384,246,30.7122,43.3257
rand4k,4,48,2097152,0.005074,0.4133,100912,0.4546,1.1522
